Index,network,μ,β,p
148,Erdos-Renyi_500_350.net,0.5,0.44,0.4183595505617977
149,Erdos-Renyi_500_1500.net,0.9,0.92,0.5230112359550562
150,Erdos-Renyi_500_350.net,0.5,0.46,0.4216853932584271
151,Erdos-Renyi_500_1500.net,0.9,0.96,0.5228314606741576
152,Erdos-Renyi_500_350.net,0.5,0.48,0.42815730337078645
153,Erdos-Renyi_500_1500.net,0.9,1.0,0.5238426966292135
154,Erdos-Renyi_500_350.net,0.5,0.5,0.4338202247191012
156,Erdos-Renyi_500_350.net,0.5,0.52,0.44031460674157324
158,Erdos-Renyi_500_350.net,0.5,0.54,0.4463820224719102
160,Erdos-Renyi_500_350.net,0.5,0.56,0.45128089887640477
162,Erdos-Renyi_500_350.net,0.5,0.58,0.4550112359550562
164,Erdos-Renyi_500_350.net,0.5,0.6,0.4594831460674158
166,Erdos-Renyi_500_350.net,0.5,0.62,0.46325842696629227
168,Erdos-Renyi_500_350.net,0.5,0.64,0.4700000000000001
170,Erdos-Renyi_500_350.net,0.5,0.66,0.47332584269662886
172,Erdos-Renyi_500_350.net,0.5,0.68,0.478202247191011
174,Erdos-Renyi_500_350.net,0.5,0.7,0.4807865168539326
176,Erdos-Renyi_500_350.net,0.5,0.72,0.48177528089887667
178,Erdos-Renyi_500_350.net,0.5,0.74,0.48667415730337077
180,Erdos-Renyi_500_350.net,0.5,0.76,0.4919325842696628
182,Erdos-Renyi_500_350.net,0.5,0.78,0.49231460674157307
184,Erdos-Renyi_500_350.net,0.5,0.8,0.494808988764045
186,Erdos-Renyi_500_350.net,0.5,0.82,0.49728089887640453
188,Erdos-Renyi_500_350.net,0.5,0.84,0.4993932584269665
190,Erdos-Renyi_500_350.net,0.5,0.86,0.5034382022471909
192,Erdos-Renyi_500_350.net,0.5,0.88,0.505573033707865
194,Erdos-Renyi_500_350.net,0.5,0.9,0.5063820224719102
196,Erdos-Renyi_500_350.net,0.5,0.92,0.510314606741573
