Index,Degree,Strength,ASPL,LSPL,Clust Coeff,Betweeness,Eigenvector,PageRank
PEU,2.0,346.0,5.80204589,1.0,0.0,0.00055294,8.38e-6,0.00020473
PEW,17.0,12534.0,3.92286425,1.0,0.34558824,0.00209914,0.00715033,0.00056411
PFB,3.0,510.0,5.01022947,1.0,0.33333333,6.2e-7,6.318e-5,0.00018043
PFN,5.0,5863.0,3.88913464,1.0,1.0,0.0,0.00583332,0.00013687
PFO,14.0,8212.0,3.50760299,1.0,0.84615385,1.202e-5,0.02881892,0.00029443
PGA,2.0,494.0,4.10257119,1.0,1.0,0.0,0.00249155,8.084e-5
PGF,2.0,6579.0,3.58059165,1.0,1.0,0.0,0.00676264,8.039e-5
PGK,4.0,1806.0,4.42770252,1.0,0.66666667,2.3e-7,0.00023026,0.0001989
PGM,2.0,32.0,5.21481891,1.0,0.0,0.0002764,4.95e-6,0.00021138
PGV,2.0,1404.0,4.15593033,1.0,1.0,0.0,0.00142215,0.00010485
PGX,1.0,480.0,3.68813934,1.0,0.0,0.0,0.0032031,6.212e-5
PHB,2.0,60.0,4.6696157,1.0,1.0,0.0,0.00013427,0.00010819
PHC,2.0,1556.0,3.67072159,1.0,1.0,0.0,0.00380965,8.524e-5
PHE,3.0,1215.0,4.36881393,1.0,0.66666667,4.1e-7,0.00016691,0.00018849
PHF,5.0,6471.5,3.87144042,1.0,1.0,0.0,0.00747774,0.00013177
PHL,101.0,418337.5,3.12358308,1.0,0.25841584,0.00477466,0.08939079,0.00210352
PHO,4.0,467.0,5.20265413,1.0,0.33333333,5.15e-6,5.36e-6,0.00027475
