Index,network,μ,β,p
160,ER_500_07.net,0.5,0.56,0.6675505617977527
162,ER_N500_k6.net,0.5,0.04,0.2835333588525366
164,ER_500_07.net,0.5,0.6,0.6689213483146067
165,ER_N500_k6.net,0.5,0.06,0.3556551304856905
166,ER_500_07.net,0.5,0.62,0.666359550561798
168,ER_N500_k6.net,0.5,0.08,0.4162932606786607
170,ER_500_07.net,0.5,0.66,0.6675505617977529
171,ER_N500_k6.net,0.5,0.1,0.45283826079124534
172,ER_500_07.net,0.5,0.68,0.669573033707865
174,ER_N500_k6.net,0.5,0.12,0.48681632928778895
176,ER_500_07.net,0.5,0.72,0.6689213483146066
177,ER_N500_k6.net,0.5,0.14,0.5159082209362544
178,ER_500_07.net,0.5,0.74,0.67038202247191
180,ER_N500_k6.net,0.5,0.16,0.5361059197045779
182,ER_500_07.net,0.5,0.78,0.6690786516853932
183,ER_N500_k6.net,0.5,0.18,0.5567089234649076
184,ER_500_07.net,0.5,0.8,0.6680449438202245
186,ER_N500_k6.net,0.5,0.2,0.5685528360090969
188,ER_500_07.net,0.5,0.84,0.6705617977528086
189,ER_N500_k6.net,0.5,0.22,0.5880525095134088
190,ER_500_07.net,0.5,0.86,0.669123595505618
192,ER_N500_k6.net,0.5,0.24,0.5933439913534936
194,ER_500_07.net,0.5,0.9,0.6678876404494385
195,ER_N500_k6.net,0.5,0.26,0.6038368872576612
196,ER_500_07.net,0.5,0.92,0.6678202247191011
198,ER_N500_k6.net,0.5,0.28,0.6115376821057846
200,ER_500_07.net,0.5,0.96,0.6700224719101124
201,ER_N500_k6.net,0.5,0.3,0.6170543333858728
202,ER_500_07.net,0.5,0.98,0.6664943820224718
204,ER_N500_k6.net,0.5,0.32,0.6275247123460405
206,ER_500_07.net,0.9,0.0,0.00024719101123595505
207,ER_N500_k6.net,0.5,0.34,0.6292360000900679
208,ER_500_07.net,0.9,0.02,0.5290337078651687
210,ER_N500_k6.net,0.5,0.36,0.6352480241381638
212,ER_500_07.net,0.9,0.06,0.5279550561797753
213,ER_N500_k6.net,0.5,0.38,0.6392110062822276
214,ER_500_07.net,0.9,0.08,0.5270786516853934
216,ER_N500_k6.net,0.5,0.4,0.6442548017383082
218,ER_500_07.net,0.9,0.12,0.528067415730337
219,ER_N500_k6.net,0.5,0.42,0.6469568350183513
